calculation_id,calculation_type,calculation_period_start,calculation_period_end,calculation_version,result_id,grid_area_code,balance_responsible_party_id,metering_point_type,settlement_method,resolution,time,quantity,quantity_unit,quantity_qualities
16b055aa-6a27-4605-b10a-88911ee009dd,balance_fixing,2021-12-31T23:00:00Z,2022-02-28T23:00:00Z,6,6564f41f-871d-4024-82af-ac8a0713f0aa,543,5790000701414,consumption,non_profiled,PT1H,2022-01-01T07:00:00Z,155614.4,kWh,"[""missing"",""measured""]"
16b055aa-6a27-4605-b10a-88911ee009dd,balance_fixing,2021-12-31T23:00:00Z,2022-02-28T23:00:00Z,6,6564f41f-871d-4024-82af-ac8a0713f0aa,543,5790000701414,consumption,non_profiled,PT1H,2022-01-01T08:00:00Z,155614.4,kWh,"[""missing"",""measured""]"
16b055aa-6a27-4605-b10a-88911ee009dd,balance_fixing,2021-12-31T23:00:00Z,2022-02-28T23:00:00Z,6,6564f41f-871d-4024-82af-ac8a0713f0aa,543,5790000701414,consumption,non_profiled,PT1H,2022-01-01T09:00:00Z,155614.4,kWh,"[""missing"",""measured""]"
16b055aa-6a27-4605-b10a-88911ee009dd,balance_fixing,2021-12-31T23:00:00Z,2022-02-28T23:00:00Z,6,6564f41f-871d-4024-82af-ac8a0713f0aa,543,5790000701414,consumption,non_profiled,PT1H,2022-01-01T10:00:00Z,155614.4,kWh,"[""missing"",""measured""]"
16b055aa-6a27-4605-b10a-88911ee009dd,balance_fixing,2021-12-31T23:00:00Z,2022-02-28T23:00:00Z,6,6564f41f-871d-4024-82af-ac8a0713f0aa,543,5790000701414,consumption,non_profiled,PT1H,2022-01-01T11:00:00Z,155614.4,kWh,"[""missing"",""measured""]"
16b055aa-6a27-4605-b10a-88911ee009dd,balance_fixing,2021-12-31T23:00:00Z,2022-02-28T23:00:00Z,6,6564f41f-871d-4024-82af-ac8a0713f0aa,543,5790000701414,consumption,non_profiled,PT1H,2022-01-01T12:00:00Z,155614.4,kWh,"[""missing"",""measured""]"
16b055aa-6a27-4605-b10a-88911ee009dd,balance_fixing,2021-12-31T23:00:00Z,2022-02-28T23:00:00Z,6,6564f41f-871d-4024-82af-ac8a0713f0aa,543,5790000701414,consumption,non_profiled,PT1H,2022-01-02T11:00:00Z,155614.4,kWh,"[""missing"",""measured""]"
16b055aa-6a27-4605-b10a-88911ee009dd,balance_fixing,2021-12-31T23:00:00Z,2022-02-28T23:00:00Z,6,6564f41f-871d-4024-82af-ac8a0713f0aa,543,5790000701414,consumption,non_profiled,PT1H,2022-01-02T12:00:00Z,155614.4,kWh,"[""missing"",""measured""]"
16b055aa-6a27-4605-b10a-88911ee009dd,balance_fixing,2021-12-31T23:00:00Z,2022-02-28T23:00:00Z,6,6564f41f-871d-4024-82af-ac8a0713f0aa,543,5790000701414,consumption,non_profiled,PT1H,2022-01-02T13:00:00Z,155614.4,kWh,"[""missing"",""measured""]"
16b055aa-6a27-4605-b10a-88911ee009dd,balance_fixing,2021-12-31T23:00:00Z,2022-02-28T23:00:00Z,6,6564f41f-871d-4024-82af-ac8a0713f0aa,543,5790000701414,consumption,non_profiled,PT1H,2022-01-02T14:00:00Z,155614.4,kWh,"[""missing"",""measured""]"
