calculation_id,calculation_type,calculation_execution_time_start,calculation_result_id,grid_area_code,energy_supplier_id,quantity,quantity_unit,quantity_qualities,time,resolution,metering_point_type,settlement_method,price,amount,is_tax,charge_code,charge_type,charge_owner_id,amount_type
a6288d0d-c12d-485b-8f09-0fd47f9833b3,second_correction_settlement,2024-06-27 06:30:12.494754,e5b446de-e6c5-4f2f-9bb6-c75cf8948ca7,533,5790000701278,"",kWh,"",2021-12-31 23:00:00.000000,P1M,"","","",0.000000,false,SEF NT-02,tariff,5790000392551,monthly_amount_per_charge
a6288d0d-c12d-485b-8f09-0fd47f9833b3,second_correction_settlement,2024-06-27 06:30:12.494754,c519d460-75be-4833-b11c-88772313c236,533,5790001095390,"",kWh,"",2021-12-31 23:00:00.000000,P1M,"","","",0.000000,false,SEF NT-02,tariff,5790000392551,monthly_amount_per_charge
a6288d0d-c12d-485b-8f09-0fd47f9833b3,second_correction_settlement,2024-06-27 06:30:12.494754,fd8a11aa-2990-481c-a3e3-bfbf1b5aad12,533,5790000701278,"",kWh,"",2021-12-31 23:00:00.000000,P1M,"","","",0.000000,false,SEF2 NT-01,tariff,5790000392551,monthly_amount_per_charge
a6288d0d-c12d-485b-8f09-0fd47f9833b3,second_correction_settlement,2024-06-27 06:30:12.494754,76a9b31a-2665-46d8-962f-42ef9b54ea00,533,5790001095390,"",kWh,"",2021-12-31 23:00:00.000000,P1M,"","","",0.000000,false,SEF2 NT-01,tariff,5790000392551,monthly_amount_per_charge
a6288d0d-c12d-485b-8f09-0fd47f9833b3,second_correction_settlement,2024-06-27 06:30:12.494754,d22abc09-6d80-4625-9c9b-ddbbd7dd6179,533,5790000701278,"",kWh,"",2021-12-31 23:00:00.000000,P1M,"","","",0.000000,false,SEF3 NT-01,tariff,5790000392551,monthly_amount_per_charge
a6288d0d-c12d-485b-8f09-0fd47f9833b3,second_correction_settlement,2024-06-27 06:30:12.494754,bf7004f2-b49e-49dc-9f4e-71f69a1a60b1,533,5790001095390,"",kWh,"",2021-12-31 23:00:00.000000,P1M,"","","",0.000000,false,SEF3 NT-01,tariff,5790000392551,monthly_amount_per_charge
a6288d0d-c12d-485b-8f09-0fd47f9833b3,second_correction_settlement,2024-06-27 06:30:12.494754,8bb25989-9d0e-4f53-8a1c-c02b859c7b8a,533,5790000701278,"",kWh,"",2021-12-31 23:00:00.000000,P1M,"","","",0.000000,false,40000,tariff,5790000432752,monthly_amount_per_charge
a6288d0d-c12d-485b-8f09-0fd47f9833b3,second_correction_settlement,2024-06-27 06:30:12.494754,97b63f7a-ff06-4ba0-80ee-6dc4c560a92e,533,5790001095390,"",kWh,"",2021-12-31 23:00:00.000000,P1M,"","","",0.000000,false,40000,tariff,5790000432752,monthly_amount_per_charge
a6288d0d-c12d-485b-8f09-0fd47f9833b3,second_correction_settlement,2024-06-27 06:30:12.494754,0c991e2f-2236-4128-8aba-f62792e08f4e,543,5790000701278,"",kWh,"",2021-12-31 23:00:00.000000,P1M,"","","",1578422.903040,false,40000,tariff,5790000432752,monthly_amount_per_charge
a6288d0d-c12d-485b-8f09-0fd47f9833b3,second_correction_settlement,2024-06-27 06:30:12.494754,990af765-0a8b-4d7d-8e66-ab3c582d8cbf,543,5790001095390,"",kWh,"",2021-12-31 23:00:00.000000,P1M,"","","",532566.990912,false,40000,tariff,5790000432752,monthly_amount_per_charge
a6288d0d-c12d-485b-8f09-0fd47f9833b3,second_correction_settlement,2024-06-27 06:30:12.494754,0a94037c-945e-474a-bf84-efd264209df6,543,5790001687137,"",kWh,"",2021-12-31 23:00:00.000000,P1M,"","","",46242.504576,false,40000,tariff,5790000432752,monthly_amount_per_charge
a6288d0d-c12d-485b-8f09-0fd47f9833b3,second_correction_settlement,2024-06-27 06:30:12.494754,3d014161-96a3-4eb4-a59e-914fedb2ce7e,584,5790000701278,"",kWh,"",2021-12-31 23:00:00.000000,P1M,"","","",0.000000,false,40000,tariff,5790000432752,monthly_amount_per_charge
a6288d0d-c12d-485b-8f09-0fd47f9833b3,second_correction_settlement,2024-06-27 06:30:12.494754,d5ad6f2f-6445-4ed2-9c69-5e7f0c7cadc6,584,5790001095390,"",kWh,"",2021-12-31 23:00:00.000000,P1M,"","","",0.000000,false,40000,tariff,5790000432752,monthly_amount_per_charge
a6288d0d-c12d-485b-8f09-0fd47f9833b3,second_correction_settlement,2024-06-27 06:30:12.494754,63d0ab79-b9cf-4131-b910-1d8bbeb11154,804,5790001687137,"",kWh,"",2021-12-31 23:00:00.000000,P1M,"","","",148579602.006192,false,40000,tariff,5790000432752,monthly_amount_per_charge
a6288d0d-c12d-485b-8f09-0fd47f9833b3,second_correction_settlement,2024-06-27 06:30:12.494754,fb429aa3-18f0-4866-aa44-e5a34963a9ca,804,5790001687137,"",kWh,"",2021-12-31 23:00:00.000000,P1M,"","","",3564874.839168,false,40010,tariff,5790000432752,monthly_amount_per_charge
