"grid_area_code","energy_supplier_id","balance_responsible_id","quantity","quantity_qualities","time","aggregation_level","time_series_type","calculation_id","calculation_type","calculation_execution_time_start","neighbor_grid_area_code","calculation_result_id","metering_point_id","resolution"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-10 08:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-10 09:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-10 10:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-10 11:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-10 12:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-10 13:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-10 14:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-10 15:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-10 16:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-10 17:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-10 18:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-10 19:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-10 20:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-10 21:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-10 22:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-10 23:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-11 00:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-11 01:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-11 02:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-11 03:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-11 04:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
"543","","","2617235.281","[""calculated"",""missing"",""measured""]","2022-01-11 05:00:00.000000","total_ga","total_consumption","a6288d0d-c12d-485b-8f09-0fd47f9833b3","second_correction_settlement","2024-06-27 06:30:12.494754","","08f6c95a-69b2-4703-b2fc-cc88530e45b7","","PT1H"
