calculation_id,calculation_type,calculation_version,result_id,grid_area_code,energy_supplier_id,charge_code,charge_type,charge_owner_id,resolution,quantity_unit,metering_point_type,settlement_method,is_tax,currency,time,quantity,quantity_qualities,price,amount
c89b2454-f864-4378-94da-9ea00fd0cd8d,wholesale_fixing,24,714b4e71-bc5c-48d1-bf78-126cedc39018,533,5790001095390,SEF2 NT-01,tariff,5790000392551,P1D,kWh,consumption,non_profiled,false,DKK,2022-01-20 23:00:00.000000,0.000,"[""missing""]",0.371500,0.000000
c89b2454-f864-4378-94da-9ea00fd0cd8d,wholesale_fixing,24,714b4e71-bc5c-48d1-bf78-126cedc39018,533,5790001095390,SEF2 NT-01,tariff,5790000392551,P1D,kWh,consumption,non_profiled,false,DKK,2022-01-05 23:00:00.000000,0.000,"[""missing""]",0.371500,0.000000
c89b2454-f864-4378-94da-9ea00fd0cd8d,wholesale_fixing,24,714b4e71-bc5c-48d1-bf78-126cedc39018,533,5790001095390,SEF2 NT-01,tariff,5790000392551,P1D,kWh,consumption,non_profiled,false,DKK,2022-01-12 23:00:00.000000,0.000,"[""missing""]",0.371500,0.000000
c89b2454-f864-4378-94da-9ea00fd0cd8d,wholesale_fixing,24,714b4e71-bc5c-48d1-bf78-126cedc39018,533,5790001095390,SEF2 NT-01,tariff,5790000392551,P1D,kWh,consumption,non_profiled,false,DKK,2022-01-22 23:00:00.000000,0.000,"[""missing""]",0.371500,0.000000
c89b2454-f864-4378-94da-9ea00fd0cd8d,wholesale_fixing,24,714b4e71-bc5c-48d1-bf78-126cedc39018,533,5790001095390,SEF2 NT-01,tariff,5790000392551,P1D,kWh,consumption,non_profiled,false,DKK,2022-01-29 23:00:00.000000,0.000,"[""missing""]",0.371500,0.000000
c89b2454-f864-4378-94da-9ea00fd0cd8d,wholesale_fixing,24,714b4e71-bc5c-48d1-bf78-126cedc39018,533,5790001095390,SEF2 NT-01,tariff,5790000392551,P1D,kWh,consumption,non_profiled,false,DKK,2022-01-03 23:00:00.000000,0.000,"[""missing""]",0.371500,0.000000
c89b2454-f864-4378-94da-9ea00fd0cd8d,wholesale_fixing,24,714b4e71-bc5c-48d1-bf78-126cedc39018,533,5790001095390,SEF2 NT-01,tariff,5790000392551,P1D,kWh,consumption,non_profiled,false,DKK,2022-01-09 23:00:00.000000,0.000,"[""missing""]",0.371500,0.000000
c89b2454-f864-4378-94da-9ea00fd0cd8d,wholesale_fixing,24,714b4e71-bc5c-48d1-bf78-126cedc39018,533,5790001095390,SEF2 NT-01,tariff,5790000392551,P1D,kWh,consumption,non_profiled,false,DKK,2022-01-11 23:00:00.000000,0.000,"[""missing""]",0.371500,0.000000
c89b2454-f864-4378-94da-9ea00fd0cd8d,wholesale_fixing,24,714b4e71-bc5c-48d1-bf78-126cedc39018,533,5790001095390,SEF2 NT-01,tariff,5790000392551,P1D,kWh,consumption,non_profiled,false,DKK,2022-01-17 23:00:00.000000,0.000,"[""missing""]",0.371500,0.000000
c89b2454-f864-4378-94da-9ea00fd0cd8d,wholesale_fixing,24,714b4e71-bc5c-48d1-bf78-126cedc39018,533,5790001095390,SEF2 NT-01,tariff,5790000392551,P1D,kWh,consumption,non_profiled,false,DKK,2022-01-01 23:00:00.000000,0.000,"[""missing""]",0.371500,0.000000
